Column 1;Column 2;Summary;Score;Column 5;CPU;Column 7;Column 8;Motherboard;OS;Column 11;Column 12;GPU;GPU Vendor;Column 15
10;doorules;Intel Core i9-10980XEEVGA GeForce RTX 3090  (GA102);14053;Created:23 November 2020 (11:15);CPU Name:Intel Core i9-10980XE;Physical / Logical CPUs: 18 / 36;CPU Clock (max):3000 MHz;Motherboard:ASUS ROG RAMPAGE VI APEX;OS:Windows 10  (build 19041);Graphics API: DirectX ;GPU Driver:457.3;GPU Name:GeForce RTX 3090  (GA102);GPU Vendor:EVGA;GPU Memory:24576 MBGPU Memory clock (max):10551 MHzGPU Core clock (max):2100 MHzGPU Temp min/max:23 / 59 C° FPS min/avg/max: 81.07 / 105.11 / 152.09 Detailed score info
11;Leithfield;Intel Core i9-9900KASUS GeForce RTX 3090  (GA102);14021;Created:05 November 2020 (10:32);CPU Name:Intel Core i9-9900K;Physical / Logical CPUs: 8 / 16;CPU Clock (max):3600 MHz;Motherboard:ASUS ROG MAXIMUS X FORMULA;OS:Windows 10  (build 19041);Graphics API: DirectX ;GPU Driver:457.09;GPU Name:GeForce RTX 3090  (GA102);GPU Vendor:ASUS;GPU Memory:24576 MBGPU Memory clock (max):10802 MHzGPU Core clock (max):2190 MHzGPU Temp min/max:26 / 69 C° FPS min/avg/max: 81.67 / 104.87 / 144.8 Detailed score info
12;kabo76;Intel Core i9-10900KEVGA GeForce RTX 3090  (GA102);13986;Created:17 November 2020 (21:59);CPU Name:Intel Core i9-10900K;Physical / Logical CPUs: 10 / 20;CPU Clock (max):3696 MHz;Motherboard:MSI MEG Z490 GODLIKE (MS-7C70);OS:Windows 10  (build 19042);Graphics API: DirectX ;GPU Driver:457.3;GPU Name:GeForce RTX 3090  (GA102);GPU Vendor:EVGA;GPU Memory:24576 MBGPU Memory clock (max):11153 MHzGPU Core clock (max):2220 MHzGPU Temp min/max:43 / 74 C° FPS min/avg/max: 80.68 / 104.61 / 130.22 Detailed score info
13;ChrisLB;AMD Ryzen 9 3950X 16-Core ProcessorEVGA GeForce RTX 3090  (GA102);13961;Created:18 November 2020 (06:21);CPU Name:AMD Ryzen 9 3950X 16-Core Processor;Physical / Logical CPUs: 16 / 32;CPU Clock (max):3500 MHz;Motherboard:MSI MEG X570 ACE (MS-7C35);OS:Windows 10  (build 19042);Graphics API: DirectX ;GPU Driver:457.3;GPU Name:GeForce RTX 3090  (GA102);GPU Vendor:EVGA;GPU Memory:24576 MBGPU Memory clock (max):10961 MHzGPU Core clock (max):2205 MHzGPU Temp min/max:25 / 60 C° FPS min/avg/max: 80.94 / 104.42 / 146.69 Detailed score info
14;elkhog;Intel Core i9-10980XEEVGA GeForce RTX 3090  (GA102);13891;Created:31 October 2020 (06:31);CPU Name:Intel Core i9-10980XE;Physical / Logical CPUs: 18 / 36;CPU Clock (max):3001 MHz;Motherboard:ASUS ROG RAMPAGE VI EXTREME ENCORE;OS:Windows 10  (build 19041);Graphics API: DirectX ;GPU Driver:456.38;GPU Name:GeForce RTX 3090  (GA102);GPU Vendor:EVGA;GPU Memory:24576 MBGPU Memory clock (max):10545 MHzGPU Core clock (max):2160 MHzGPU Temp min/max:25 / 60 C° FPS min/avg/max: 78.53 / 103.9 / 134.18 Detailed score info
14;Mella;Intel Core i9-10900KEVGA GeForce RTX 3090  (GA102);13891;Created:20 November 2020 (05:59);CPU Name:Intel Core i9-10900K;Physical / Logical CPUs: 10 / 20;CPU Clock (max):3696 MHz;Motherboard:ASUS ROG MAXIMUS XII APEX;OS:Windows 10  (build 19042);Graphics API: DirectX ;GPU Driver:457.3;GPU Name:GeForce RTX 3090  (GA102);GPU Vendor:EVGA;GPU Memory:24576 MBGPU Memory clock (max):10951 MHzGPU Core clock (max):2160 MHzGPU Temp min/max:33 / 73 C° FPS min/avg/max: 81.03 / 103.9 / 136.45 Detailed score info
15;Scum;Intel Core i9-10900KEVGA GeForce RTX 3090  (GA102);13862;Created:06 November 2020 (09:26);CPU Name:Intel Core i9-10900K;Physical / Logical CPUs: 10 / 20;CPU Clock (max):3701 MHz;Motherboard:ASUS ROG MAXIMUS XII APEX;OS:Windows 10  (build 19041);Graphics API: DirectX ;GPU Driver:456.71;GPU Name:GeForce RTX 3090  (GA102);GPU Vendor:EVGA;GPU Memory:24576 MBGPU Memory clock (max):10951 MHzGPU Core clock (max):2130 MHzGPU Temp min/max:31 / 57 C° FPS min/avg/max: 81.34 / 103.68 / 140.78 Detailed score info
16;dannnyforthewin;Intel Core i9-10900KNVIDIA GeForce RTX 3090  (GA102);13823;Created:23 November 2020 (04:34);CPU Name:Intel Core i9-10900K;Physical / Logical CPUs: 10 / 20;CPU Clock (max):3696 MHz;Motherboard:ASUS ROG MAXIMUS XII HERO (WI-FI);OS:Windows 10  (build 19042);Graphics API: DirectX ;GPU Driver:457.3;GPU Name:GeForce RTX 3090  (GA102);GPU Vendor:NVIDIA;GPU Memory:24576 MBGPU Memory clock (max):10751 MHzGPU Core clock (max):2265 MHzGPU Temp min/max:26 / 53 C° FPS min/avg/max: 81.63 / 103.39 / 139.16 Detailed score info
17;m18842306056;Intel Genuine 0000ASUS GeForce RTX 3090  (GA102);13803;Created:08 November 2020 (06:48);CPU Name:Intel Genuine 0000;Physical / Logical CPUs: 8 / 16;CPU Clock (max):3001 MHz;Motherboard:ASUS ROG RAMPAGE VI EXTREME OMEGA;OS:Windows 10  (build 19041);Graphics API: DirectX ;GPU Driver:457.09;GPU Name:GeForce RTX 3090  (GA102);GPU Vendor:ASUS;GPU Memory:24576 MBGPU Memory clock (max):10501 MHzGPU Core clock (max):2160 MHzGPU Temp min/max:31 / 64 C° FPS min/avg/max: 77.3 / 103.24 / 134.49 Detailed score info
18;Dampfkanes78;Intel Core i9-9900KNVIDIA GeForce RTX 3090  (GA102);13794;Created:03 October 2020 (21:34);CPU Name:Intel Core i9-9900K;Physical / Logical CPUs: 8 / 16;CPU Clock (max):3600 MHz;Motherboard:MSI MPG Z390 GAMING EDGE AC (MS-7B17);OS:Windows 10  (build 19041);Graphics API: DirectX ;GPU Driver:456.55;GPU Name:GeForce RTX 3090  (GA102);GPU Vendor:NVIDIA;GPU Memory:24576 MBGPU Memory clock (max):10051 MHzGPU Core clock (max):2115 MHzGPU Temp min/max:36 / 59 C° FPS min/avg/max: 80.77 / 103.17 / 137.46 Detailed score info
19;AwkwaBear;Intel Core i7-7700KNVIDIA GeForce RTX 3090  (GA102);13787;Created:31 October 2020 (05:12);CPU Name:Intel Core i7-7700K;Physical / Logical CPUs: 4 / 8;CPU Clock (max):4201 MHz;Motherboard:ASRock Z270 Gaming K6;OS:Windows 10  (build 19041);Graphics API: DirectX ;GPU Driver:457.09;GPU Name:GeForce RTX 3090  (GA102);GPU Vendor:NVIDIA;GPU Memory:24576 MBGPU Memory clock (max):10401 MHzGPU Core clock (max):2130 MHzGPU Temp min/max:38 / 62 C° FPS min/avg/max: 80.31 / 103.12 / 141.39 Detailed score info
20;NobleNomad10;AMD Ryzen 7 3700X 8-Core ProcessorNVIDIA GeForce RTX 3090  (GA102);13751;Created:27 October 2020 (00:14);CPU Name:AMD Ryzen 7 3700X 8-Core Processor;Physical / Logical CPUs: 8 / 16;CPU Clock (max):4050 MHz;Motherboard:ASUS ROG STRIX X570-E GAMING;OS:Windows 10  (build 19042);Graphics API: DirectX ;GPU Driver:456.71;GPU Name:GeForce RTX 3090  (GA102);GPU Vendor:NVIDIA;GPU Memory:24576 MBGPU Memory clock (max):9775 MHzGPU Core clock (max):2190 MHzGPU Temp min/max:27 / 54 C° FPS min/avg/max: 80.72 / 102.86 / 140.3 Detailed score info
21;PaperClip;Intel Core i9-9900KNVIDIA GeForce RTX 3090  (GA102);13734;Created:11 November 2020 (02:57);CPU Name:Intel Core i9-9900K;Physical / Logical CPUs: 8 / 16;CPU Clock (max):3600 MHz;Motherboard:ASUS ROG MAXIMUS XI HERO (WI-FI);OS:Windows 10  (build 19041);Graphics API: DirectX ;GPU Driver:457.3;GPU Name:GeForce RTX 3090  (GA102);GPU Vendor:NVIDIA;GPU Memory:24576 MBGPU Memory clock (max):10251 MHzGPU Core clock (max):1995 MHzGPU Temp min/max:33 / 55 C° FPS min/avg/max: 79.34 / 102.73 / 136.99 Detailed score info
22;Antz;Intel Core i7-7700KNVIDIA GeForce RTX 3090  (GA102);13732;Created:10 October 2020 (21:14);CPU Name:Intel Core i7-7700K;Physical / Logical CPUs: 4 / 8;CPU Clock (max):4201 MHz;Motherboard:Gigabyte Z270-Gaming K3;OS:Windows 10  (build 19041);Graphics API: DirectX ;GPU Driver:456.71;GPU Name:GeForce RTX 3090  (GA102);GPU Vendor:NVIDIA;GPU Memory:24576 MBGPU Memory clock (max):10151 MHzGPU Core clock (max):2085 MHzGPU Temp min/max:44 / 60 C° FPS min/avg/max: 79.6 / 102.71 / 123.07 Detailed score info
23;d1zz3h;Intel Core i9-9900KSASUS GeForce RTX 3090  (GA102);13729;Created:17 November 2020 (22:54);CPU Name:Intel Core i9-9900KS;Physical / Logical CPUs: 8 / 16;CPU Clock (max):4008 MHz;Motherboard:ASUS ROG MAXIMUS XI FORMULA;OS:Windows 10  (build 19041);Graphics API: DirectX ;GPU Driver:457.3;GPU Name:GeForce RTX 3090  (GA102);GPU Vendor:ASUS;GPU Memory:24576 MBGPU Memory clock (max):10601 MHzGPU Core clock (max):2205 MHzGPU Temp min/max:31 / 66 C° FPS min/avg/max: 76.38 / 102.69 / 131.19 Detailed score info
24;YOU54F;Intel Core i9-9900KNVIDIA GeForce RTX 3090  (GA102);13700;Created:12 November 2020 (01:40);CPU Name:Intel Core i9-9900K;Physical / Logical CPUs: 8 / 16;CPU Clock (max):3600 MHz;Motherboard:ASUS ROG STRIX Z390-I GAMING;OS:Windows 10  (build 18362);Graphics API: DirectX ;GPU Driver:457.09;GPU Name:GeForce RTX 3090  (GA102);GPU Vendor:NVIDIA;GPU Memory:24576 MBGPU Memory clock (max):10652 MHzGPU Core clock (max):2190 MHzGPU Temp min/max:28 / 58 C° FPS min/avg/max: 76.54 / 102.48 / 132.5 Detailed score info
25;skyhawkbre;Intel Core i9-9900KFNVIDIA GeForce RTX 3090  (GA102);13696;Created:10 October 2020 (06:46);CPU Name:Intel Core i9-9900KF;Physical / Logical CPUs: 8 / 16;CPU Clock (max):3600 MHz;Motherboard:NZXT N7 Z370;OS:Windows 10  (build 20231);Graphics API: DirectX ;GPU Driver:460.2;GPU Name:GeForce RTX 3090  (GA102);GPU Vendor:NVIDIA;GPU Memory:24576 MBGPU Memory clock (max):10951 MHzGPU Core clock (max):2205 MHzGPU Temp min/max:24 / 52 C° FPS min/avg/max: 79.41 / 102.44 / 135.88 Detailed score info
26;robtgalloway;Intel Core i9-9900KEVGA GeForce RTX 3090  (GA102);13673;Created:31 October 2020 (11:34);CPU Name:Intel Core i9-9900K;Physical / Logical CPUs: 8 / 16;CPU Clock (max):3600 MHz;Motherboard:ASRock Z370 Gaming K6;OS:Windows 10  (build 18362);Graphics API: DirectX ;GPU Driver:457.09;GPU Name:GeForce RTX 3090  (GA102);GPU Vendor:EVGA;GPU Memory:24576 MBGPU Memory clock (max):10551 MHzGPU Core clock (max):2055 MHzGPU Temp min/max:40 / 65 C° FPS min/avg/max: 77.94 / 102.27 / 131.21 Detailed score info
27;xtrance34;Intel Core i9-10900KASUS GeForce RTX 3090  (GA102);13665;Created:17 November 2020 (13:42);CPU Name:Intel Core i9-10900K;Physical / Logical CPUs: 10 / 20;CPU Clock (max):3696 MHz;Motherboard:MSI MEG Z490 GODLIKE (MS-7C70);OS:Windows 10  (build 19042);Graphics API: DirectX ;GPU Driver:457.3;GPU Name:GeForce RTX 3090  (GA102);GPU Vendor:ASUS;GPU Memory:24576 MBGPU Memory clock (max):10451 MHzGPU Core clock (max):2130 MHzGPU Temp min/max:29 / 72 C° FPS min/avg/max: 79.62 / 102.21 / 135.93 Detailed score info
28;ronkorolak;Intel Core i9-10900KASUS GeForce RTX 3090  (GA102);13664;Created:14 November 2020 (21:38);CPU Name:Intel Core i9-10900K;Physical / Logical CPUs: 10 / 20;CPU Clock (max):3696 MHz;Motherboard:Gigabyte Z490 AORUS PRO AX;OS:Windows 10  (build 18363);Graphics API: DirectX ;GPU Driver:456.71;GPU Name:GeForce RTX 3090  (GA102);GPU Vendor:ASUS;GPU Memory:24576 MBGPU Memory clock (max):10601 MHzGPU Core clock (max):2175 MHzGPU Temp min/max:13 / 37 C° FPS min/avg/max: 79.55 / 102.2 / 134.94 Detailed score info
29;AcidWeb;Intel Core i9-10900KASUS GeForce RTX 3090  (GA102);13662;Created:16 November 2020 (16:50);CPU Name:Intel Core i9-10900K;Physical / Logical CPUs: 10 / 20;CPU Clock (max):3696 MHz;Motherboard:ASUS ROG STRIX Z490-E GAMING;OS:Windows 10  (build 19042);Graphics API: DirectX ;GPU Driver:457.3;GPU Name:GeForce RTX 3090  (GA102);GPU Vendor:ASUS;GPU Memory:24576 MBGPU Memory clock (max):10001 MHzGPU Core clock (max):2160 MHzGPU Temp min/max:33 / 54 C° FPS min/avg/max: 76.44 / 102.19 / 121.02 Detailed score info
30;JonnyB;AMD Ryzen Threadripper 3960X 24-Core ProcessorASUS GeForce RTX 3090  (GA102);13660;Created:11 November 2020 (16:32);CPU Name:AMD Ryzen Threadripper 3960X 24-Core Processor;Physical / Logical CPUs: 24 / 48;CPU Clock (max):3793 MHz;Motherboard:ASUS ROG ZENITH II EXTREME;OS:Windows 10  (build 19041);Graphics API: DirectX ;GPU Driver:457.3;GPU Name:GeForce RTX 3090  (GA102);GPU Vendor:ASUS;GPU Memory:24576 MBGPU Memory clock (max):10351 MHzGPU Core clock (max):2175 MHzGPU Temp min/max:28 / 78 C° FPS min/avg/max: 77.88 / 102.17 / 141.94 Detailed score info
31;Rauf;Intel Core i9-9900KGalaxy GeForce RTX 2080 Ti Rev. A  (TU102);13589;Created:23 September 2019 (08:50);CPU Name:Intel Core i9-9900K;Physical / Logical CPUs: 8 / 16;CPU Clock (max):3601 MHz;Motherboard:ASUS ROG MAXIMUS XI APEX;OS:Windows 10  (build 17763);Graphics API: DirectX ;GPU Driver:436.3;GPU Name:GeForce RTX 2080 Ti Rev. A  (TU102);GPU Vendor:Galaxy;GPU Memory:11264 MBGPU Memory clock (max):8674 MHzGPU Core clock (max):2745 MHzGPU Temp min/max:-40 / -40 C° FPS min/avg/max: 78.5 / 101.64 / 143.07 Detailed score info
32;asmodian;AMD Ryzen 9 3950X 16-Core ProcessorNVIDIA GeForce RTX 3090  (GA102);13586;Created:17 November 2020 (10:08);CPU Name:AMD Ryzen 9 3950X 16-Core Processor;Physical / Logical CPUs: 16 / 32;CPU Clock (max):3493 MHz;Motherboard:ASUS ROG CROSSHAIR VIII HERO;OS:Windows 10  (build 19042);Graphics API: DirectX ;GPU Driver:457.3;GPU Name:GeForce RTX 3090  (GA102);GPU Vendor:NVIDIA;GPU Memory:24576 MBGPU Memory clock (max):10501 MHzGPU Core clock (max):2130 MHzGPU Temp min/max:29 / 58 C° FPS min/avg/max: 79.16 / 101.62 / 137.34 Detailed score info
33;dexterav;Intel Core i9-9900KFGainward GeForce RTX 3090  (GA102);13572;Created:14 November 2020 (13:54);CPU Name:Intel Core i9-9900KF;Physical / Logical CPUs: 8 / 16;CPU Clock (max):3600 MHz;Motherboard:ASUS ROG STRIX Z370-F GAMING;OS:Windows 10  (build 19042);Graphics API: DirectX ;GPU Driver:457.33;GPU Name:GeForce RTX 3090  (GA102);GPU Vendor:Gainward;GPU Memory:24576 MBGPU Memory clock (max):9951 MHzGPU Core clock (max):1995 MHzGPU Temp min/max:23 / 39 C° FPS min/avg/max: 78.85 / 101.51 / 136.28 Detailed score info
34;Dictatorial;AMD Ryzen 9 5950X 16-Core ProcessorASUS GeForce RTX 3090  (GA102);13560;Created:21 November 2020 (07:02);CPU Name:AMD Ryzen 9 5950X 16-Core Processor;Physical / Logical CPUs: 16 / 32;CPU Clock (max):3401 MHz;Motherboard:ASUS ROG CROSSHAIR VIII HERO (WI-FI);OS:Windows 10  (build 19042);Graphics API: DirectX ;GPU Driver:457.3;GPU Name:GeForce RTX 3090  (GA102);GPU Vendor:ASUS;GPU Memory:24576 MBGPU Memory clock (max):11051 MHzGPU Core clock (max):2145 MHzGPU Temp min/max:23 / 66 C° FPS min/avg/max: 78.74 / 101.43 / 132.89 Detailed score info
35;nirvashone;Intel Core i9-9900KSEVGA GeForce RTX 3090  (GA102);13512;Created:10 November 2020 (20:54);CPU Name:Intel Core i9-9900KS;Physical / Logical CPUs: 8 / 16;CPU Clock (max):4008 MHz;Motherboard:ASUS ROG MAXIMUS XI HERO (WI-FI);OS:Windows 10  (build 19041);Graphics API: DirectX ;GPU Driver:457.3;GPU Name:GeForce RTX 3090  (GA102);GPU Vendor:EVGA;GPU Memory:24576 MBGPU Memory clock (max):10425 MHzGPU Core clock (max):2175 MHzGPU Temp min/max:35 / 63 C° FPS min/avg/max: 77.43 / 101.07 / 137.23 Detailed score info
36;Sneaks;Intel Core i9-9900KNVIDIA GeForce RTX 3090  (GA102);13507;Created:19 November 2020 (21:44);CPU Name:Intel Core i9-9900K;Physical / Logical CPUs: 8 / 16;CPU Clock (max):3600 MHz;Motherboard:MSI MEG Z390 GODLIKE (MS-7B10);OS:Windows 10  (build 19041);Graphics API: DirectX ;GPU Driver:457.3;GPU Name:GeForce RTX 3090  (GA102);GPU Vendor:NVIDIA;GPU Memory:24576 MBGPU Memory clock (max):10175 MHzGPU Core clock (max):2190 MHzGPU Temp min/max:32 / 57 C° FPS min/avg/max: 76.39 / 101.03 / 134.5 Detailed score info
37;ccozmo;Intel Core i9-7900XASUS GeForce RTX 3090  (GA102);13482;Created:01 October 2020 (21:02);CPU Name:Intel Core i9-7900X;Physical / Logical CPUs: 10 / 20;CPU Clock (max):3301 MHz;Motherboard:ASUS PRIME X299-DELUXE;OS:Windows 10  (build 19041);Graphics API: DirectX ;GPU Driver:456.55;GPU Name:GeForce RTX 3090  (GA102);GPU Vendor:ASUS;GPU Memory:24576 MBGPU Memory clock (max):10351 MHzGPU Core clock (max):1995 MHzGPU Temp min/max:36 / 67 C° FPS min/avg/max: 78.12 / 100.84 / 138.38 Detailed score info
38;lithiom3;Intel Core i9-10900KASUS GeForce RTX 3090  (GA102);13467;Created:14 October 2020 (18:27);CPU Name:Intel Core i9-10900K;Physical / Logical CPUs: 10 / 20;CPU Clock (max):3696 MHz;Motherboard:ASUS ROG MAXIMUS XII EXTREME;OS:Windows 10  (build 19041);Graphics API: DirectX ;GPU Driver:456.71;GPU Name:GeForce RTX 3090  (GA102);GPU Vendor:ASUS;GPU Memory:24576 MBGPU Memory clock (max):10307 MHzGPU Core clock (max):2100 MHzGPU Temp min/max:38 / 85 C° FPS min/avg/max: 77.58 / 100.73 / 135.23 Detailed score info
39;Guido-Nies.LUX;AMD Ryzen 9 3900XT 12-Core ProcessorMSI GeForce RTX 3090  (GA102);13424;Created:08 November 2020 (22:19);CPU Name:AMD Ryzen 9 3900XT 12-Core Processor;Physical / Logical CPUs: 12 / 24;CPU Clock (max):3800 MHz;Motherboard:ASUS ROG STRIX X570-E GAMING;OS:Windows 10  (build 19041);Graphics API: DirectX ;GPU Driver:457.09;GPU Name:GeForce RTX 3090  (GA102);GPU Vendor:MSI;GPU Memory:24576 MBGPU Memory clock (max):10652 MHzGPU Core clock (max):2145 MHzGPU Temp min/max:23 / 57 C° FPS min/avg/max: 78.44 / 100.41 / 117.13 Detailed score info
40;Heartl1ne;Intel Core i9-9900KNVIDIA GeForce RTX 3090  (GA102);13423;Created:07 October 2020 (17:07);CPU Name:Intel Core i9-9900K;Physical / Logical CPUs: 8 / 16;CPU Clock (max):3600 MHz;Motherboard:Gigabyte Z390 I AORUS PRO WIFI-CF;OS:Windows 10  (build 19041);Graphics API: DirectX ;GPU Driver:456.55;GPU Name:GeForce RTX 3090  (GA102);GPU Vendor:NVIDIA;GPU Memory:24576 MBGPU Memory clock (max):9855 MHzGPU Core clock (max):2145 MHzGPU Temp min/max:53 / 74 C° FPS min/avg/max: 74.71 / 100.4 / 120.21 Detailed score info
41;barfytheclown;AMD Ryzen 9 3900X 12-Core ProcessorASUS GeForce RTX 3090  (GA102);13421;Created:25 October 2020 (03:40);CPU Name:AMD Ryzen 9 3900X 12-Core Processor;Physical / Logical CPUs: 12 / 24;CPU Clock (max):3793 MHz;Motherboard:ASUS ROG STRIX X570-E GAMING;OS:Windows 10  (build 19042);Graphics API: DirectX ;GPU Driver:456.71;GPU Name:GeForce RTX 3090  (GA102);GPU Vendor:ASUS;GPU Memory:24576 MBGPU Memory clock (max):10451 MHzGPU Core clock (max):2115 MHzGPU Temp min/max:32 / 80 C° FPS min/avg/max: 77.1 / 100.38 / 131.59 Detailed score info
